primary_title,production_budget,domestic_gross,worldwide_gross,net_revenue
Avatar,425000000.0,760507625.0,2776345279.0,2351345279.0
Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,635063875.0
Dark Phoenix,350000000.0,42762350.0,149762350.0,-200237650.0
Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1072413963.0
Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,999721747.0
Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,1747311220.0
Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200.0
Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,663420425.0
Justice League,300000000.0,229024295.0,655945209.0,355945209.0
Spectre,300000000.0,200074175.0,879620923.0,579620923.0
The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,809439099.0
Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,118151347.0
The Lone Ranger,275000000.0,89302115.0,260002115.0,-14997885.0
John Carter,275000000.0,73058679.0,282778100.0,7778100.0
Tangled,260000000.0,200821936.0,586477240.0,326477240.0
Spider-Man 3,258000000.0,336530303.0,894860230.0,636860230.0
Captain America: Civil War,250000000.0,408084349.0,1140069413.0,890069413.0
Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,617500281.0
The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,767003568.0
Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,685213767.0
The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,710366855.0
The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,695577621.0
The Fate of the Furious,250000000.0,225764765.0,1234846267.0,984846267.0
Superman Returns,232000000.0,200120000.0,374085065.0,142085065.0
Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,558241137.0
Quantum of Solace,230000000.0,169368427.0,591692078.0,361692078.0
The Avengers,225000000.0,623279547.0,1517935897.0,1292935897.0
Pirates of the Caribbean: Dead Manâs Chest,225000000.0,423315812.0,1066215812.0,841215812.0
Man of Steel,225000000.0,291045518.0,667999518.0,442999518.0
The Chronicles of Narnia: Prince Caspian,225000000.0,141621490.0,417341288.0,192341288.0
The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,537890267.0
Battleship,220000000.0,65233400.0,313477717.0,93477717.0
Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,385893340.0
Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864.0
Men in Black 3,215000000.0,179020854.0,654213485.0,439213485.0
Transformers: Revenge of the Fallen,210000000.0,402111870.0,836519699.0,626519699.0
Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,894039076.0
X-Men: The Last Stand,210000000.0,234362462.0,459260946.0,249260946.0
Robin Hood,210000000.0,105487148.0,322459006.0,112459006.0
King Kong,207000000.0,218080025.0,550517357.0,343517357.0
The Golden Compass,205000000.0,70107728.0,367262558.0,162262558.0
Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0
Titanic,200000000.0,659363944.0,2208208395.0,2008208395.0
Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711.0
Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0
Finding Dory,200000000.0,486295561.0,1021215193.0,821215193.0
Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522.0
Iron Man 3,200000000.0,408992272.0,1215392272.0,1015392272.0
Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,662316233.0
Spider-Man 2,200000000.0,373524485.0,795110670.0,595110670.0
Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0
Skyfall,200000000.0,304360277.0,1110526981.0,910526981.0
Monsters University,200000000.0,268488329.0,743588329.0,543588329.0
Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,290359051.0
X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,547862775.0
The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,508996336.0
Cars 2,200000000.0,191450875.0,560155383.0,360155383.0
Tron: Legacy,200000000.0,172062763.0,400062763.0,200062763.0
2012,200000000.0,166112167.0,757677748.0,557677748.0
Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,452220086.0
Terminator Salvation,200000000.0,125322469.0,365491792.0,165491792.0
Green Lantern,200000000.0,116601172.0,219535492.0,19535492.0
Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,136359676.0
Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,928790543.0
The Mummy,195000000.0,80101125.0,409953905.0,214953905.0
Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2687603.0
Furious 7,190000000.0,353007020.0,1518722794.0,1328722794.0
Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,277381584.0
World War Z,190000000.0,202359711.0,531514650.0,341514650.0
The Great Gatsby,190000000.0,144840419.0,351040419.0,161040419.0
Disneyâs A Christmas Carol,190000000.0,137855863.0,315709697.0,125709697.0
Pacific Rim,190000000.0,101802906.0,411002906.0,221002906.0
The Good Dinosaur,187500000.0,123087120.0,333771037.0,146271037.0
Iron Man,186000000.0,318604126.0,585171547.0,399171547.0
The Dark Knight,185000000.0,533720947.0,1001996207.0,816996207.0
Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317101119.0,786635413.0,601635413.0
Brave,185000000.0,237282182.0,554606532.0,369606532.0
Kong: Skull Island,185000000.0,168052812.0,561072059.0,376072059.0
Star Trek Beyond,185000000.0,158848340.0,335802233.0,150802233.0
Blade Runner 2049,185000000.0,92054159.0,259357408.0,74357408.0
Aladdin,182000000.0,246734314.0,619234314.0,437234314.0
Thor: Ragnarok,180000000.0,315058289.0,846980024.0,666980024.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957.0,720539572.0,540539572.0
Maleficent,180000000.0,241407328.0,758536735.0,578536735.0
Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,622402853.0
WALL-E,180000000.0,223808164.0,532508025.0,352508025.0
Rush Hour 3,180000000.0,140125968.0,256585882.0,76585882.0
The Legend of Tarzan,180000000.0,126643061.0,348902025.0,168902025.0
Hugo,180000000.0,73864507.0,180047784.0,47784.0
Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,35098356.0
Jupiter Ascending,179000000.0,47482519.0,181982519.0,2982519.0
Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,609456552.0
X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,364537546.0
The Meg,178000000.0,145443742.0,529530715.0,351530715.0
Edge of Tomorrow,178000000.0,100206256.0,370541256.0,192541256.0
Captain Marvel,175000000.0,426525952.0,1123061550.0,948061550.0
The Jungle Book,175000000.0,364001123.0,962854547.0,787854547.0
Inside Out,175000000.0,356461711.0,854235992.0,679235992.0
Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,705166350.0
Suicide Squad,175000000.0,325100054.0,746059887.0,571059887.0
Up,175000000.0,293004164.0,731463377.0,556463377.0
Coco,175000000.0,209726015.0,798008101.0,623008101.0
Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,349283695.0
Monsters vs. Aliens,175000000.0,198351526.0,381687380.0,206687380.0
Cars 3,175000000.0,152901115.0,383541369.0,208541369.0
G.I. Joe: The Rise of Cobra,175000000.0,150201498.0,302469017.0,127469017.0
Wild Wild West,175000000.0,113805681.0,221229335.0,46229335.0
The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776.0,405760225.0,230760225.0
Evan Almighty,175000000.0,100289690.0,174131329.0,-868671.0
Waterworld,175000000.0,88246220.0,264246220.0,89246220.0
King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,-35369664.0
47 Ronin,175000000.0,38362475.0,151716815.0,-23283185.0
Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,1135772799.0
Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,600867516.0
Iron Man 2,170000000.0,312433331.0,621156389.0,451156389.0
Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,544401889.0
Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,540644566.0
The Polar Express,170000000.0,187224605.0,311365187.0,141365187.0
Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,231021746.0
Terminator 3: Rise of the Machines,170000000.0,150358296.0,433058296.0,263058296.0
Van Helsing,170000000.0,120150546.0,300150546.0,130150546.0
Dumbo,170000000.0,113883318.0,345004422.0,175004422.0
Tomorrowland,170000000.0,93436322.0,206627518.0,36627518.0
Alita: Battle Angel,170000000.0,85710210.0,402976036.0,232976036.0
Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,129276941.0
Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,106928112.0
Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673.0
Doctor Strange,165000000.0,232641920.0,676404566.0,511404566.0
Big Hero 6,165000000.0,222527828.0,652127828.0,487127828.0
How to Train Your Dragon,165000000.0,217581232.0,494870992.0,329870992.0
Wreck-It Ralph,165000000.0,189412677.0,496511521.0,331511521.0
Interstellar,165000000.0,188017894.0,666379375.0,501379375.0
Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,219169424.0
Cowboys and Aliens,163000000.0,100368560.0,176038324.0,13038324.0
Beauty and the Beast,160000000.0,504014165.0,1259199706.0,1099199706.0
Aquaman,160000000.0,335061807.0,1146894640.0,986894640.0
Shrek the Third,160000000.0,322719944.0,807330936.0,647330936.0
Inception,160000000.0,292576195.0,835524642.0,675524642.0
The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,488986787.0
Fast and Furious 6,160000000.0,238679850.0,789300444.0,629300444.0
Godzilla,160000000.0,200676069.0,529076069.0,369076069.0
X-Men: First Class,160000000.0,146408305.0,355408305.0,195408305.0
The Curious Case of Benjamin Button,160000000.0,127509326.0,329631958.0,169631958.0
The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,57986320.0
Poseidon,160000000.0,60674817.0,181674817.0,21674817.0
Warcraft,160000000.0,47225655.0,425522281.0,265522281.0
Deepwater Horizon,156000000.0,61433527.0,122603824.0,-33396176.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,263186950.0
Terminator: Genisys,155000000.0,89760956.0,432150894.0,277150894.0
Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,135930148.0
Alexander,155000000.0,34297191.0,167297191.0,12297191.0
War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,337592267.0
Pearl Harbor,151500000.0,198539855.0,449239855.0,297739855.0
Transformers,151000000.0,319246193.0,708272592.0,557272592.0
Wonder Woman,150000000.0,412563408.0,821133378.0,671133378.0
Frozen,150000000.0,400738009.0,1272469910.0,1122469910.0
Zootopia,150000000.0,341268248.0,1019429616.0,869429616.0
Harry Potter and the Order of the Phoenix,150000000.0,292137260.0,943076457.0,793076457.0
Harry Potter and the Goblet of Fire,150000000.0,290201752.0,897099794.0,747099794.0
The Matrix Reloaded,150000000.0,281553689.0,738576929.0,588576929.0
I am Legend,150000000.0,256393010.0,585532684.0,435532684.0
Moana,150000000.0,248757044.0,637517365.0,487517365.0
Hancock,150000000.0,227946274.0,624234272.0,474234272.0
Charlie and the Chocolate Factory,150000000.0,206459076.0,475825484.0,325825484.0
Ratatouille,150000000.0,206445654.0,626549695.0,476549695.0
Thor: The Dark World,150000000.0,206362140.0,644602516.0,494602516.0
Batman Begins,150000000.0,205343774.0,359142722.0,209142722.0
Mission: ImpossibleâRogue Nation,150000000.0,195042377.0,688858992.0,538858992.0
Dunkirk,150000000.0,190068280.0,499837368.0,349837368.0
Thor,150000000.0,181030624.0,449326618.0,299326618.0
Madagascar: Escape 2 Africa,150000000.0,180174880.0,599680774.0,449680774.0
X-Men Origins: Wolverine,150000000.0,179883157.0,374825760.0,224825760.0
Night at the Museum: Battle of the Smithsonian,150000000.0,177243721.0,402231063.0,252231063.0
Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,514837547.0
Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,220098020.0
PokÃ©mon: Detective Pikachu,150000000.0,139507806.0,411258433.0,261258433.0
The Matrix Revolutions,150000000.0,139270910.0,427300260.0,277300260.0
Ready Player One,150000000.0,137690172.0,579290136.0,429290136.0
Chicken Little,150000000.0,135386665.0,310043823.0,160043823.0
Mission: Impossible III,150000000.0,133501348.0,397501348.0,247501348.0
Angels & Demons,150000000.0,133375846.0,490875846.0,340875846.0
Troy,150000000.0,133298577.0,484161265.0,334161265.0
The Last Airbender,150000000.0,131772187.0,319713881.0,169713881.0
Bee Movie,150000000.0,126631277.0,287594577.0,137594577.0
G-Force,150000000.0,119436770.0,292817841.0,142817841.0
Bolt,150000000.0,114053579.0,328015029.0,178015029.0
Wrath of the Titans,150000000.0,83670083.0,305270083.0,155270083.0
Beowulf,150000000.0,82280579.0,195080579.0,45080579.0
Dark Shadows,150000000.0,79727149.0,238202668.0,88202668.0
White House Down,150000000.0,73103784.0,205440387.0,55440387.0
The Wolfman,150000000.0,62189884.0,142634358.0,-7365642.0
The Great Wall,150000000.0,45157105.0,334486852.0,184486852.0
Pan,150000000.0,35088320.0,151525973.0,1525973.0
Mars Needs Moms,150000000.0,21392758.0,39549758.0,-110450242.0
Moonfall,150000000.0,0.0,0.0,-150000000.0
Flushed Away,149000000.0,64665672.0,179357126.0,30357126.0
Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,601921271.0
Mission: ImpossibleâGhost Protocol,145000000.0,209397903.0,694713230.0,549713230.0
How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,469586270.0
Tarzan,145000000.0,171091819.0,448191819.0,303191819.0
Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,124806430.0
Rise of the Guardians,145000000.0,103412758.0,306900902.0,161900902.0
Sahara,145000000.0,68671925.0,121671925.0,-23328075.0
Ghostbusters,144000000.0,128350574.0,229008658.0,85008658.0
Die Another Day,142000000.0,160942139.0,431942139.0,289942139.0
Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,305411224.0,634954103.0,494954103.0
Star Trek,140000000.0,257730019.0,386839614.0,246839614.0
Armageddon,140000000.0,201578182.0,554600000.0,414600000.0
Men in Black 2,140000000.0,190418803.0,441767803.0,301767803.0
Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,230569776.0
Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,377599142.0
Lethal Weapon 4,140000000.0,130444603.0,285400000.0,145400000.0
G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,235740705.0
The Last Samurai,140000000.0,111110575.0,456810575.0,316810575.0
Fun With Dick And Jane,140000000.0,110550000.0,203018919.0,63018919.0
Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,128314513.0
The BFG,140000000.0,55483770.0,199646680.0,59646680.0
Gods of Egypt,140000000.0,31153464.0,138836756.0,-1163244.0
Spider-Man,139000000.0,403706375.0,821706375.0,682706375.0
Watchmen,138000000.0,107509799.0,186976250.0,48976250.0
Stealth,138000000.0,32116746.0,76416746.0,-61583254.0
The Incredible Hulk,137500000.0,134806913.0,265573859.0,128073859.0
Hulk,137000000.0,132177234.0,245075434.0,108075434.0
Final Fantasy: The Spirits Within,137000000.0,32131830.0,85131830.0,-51868170.0
"The Twilight Saga: Breaking Dawn, Part 2",136200000.0,292324737.0,829724737.0,693524737.0
The Croods,135000000.0,187168425.0,573068425.0,438068425.0
The Revenant,135000000.0,183637894.0,532938302.0,397938302.0
The World is Not Enough,135000000.0,126930660.0,361730660.0,226730660.0
Rango,135000000.0,123477607.0,245724600.0,110724600.0
Master and Commander: The Far Side of the World,135000000.0,93926386.0,212912137.0,77912137.0
Turbo,135000000.0,83028130.0,286896578.0,151896578.0
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,110328374.0
Happy Feet Two,135000000.0,64006466.0,157956466.0,22956466.0
Miami Vice,135000000.0,63478838.0,163818556.0,28818556.0
The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,37393899.0
War of the Worlds,132000000.0,234280354.0,606836535.0,474836535.0
Penguins of Madagascar,132000000.0,83350911.0,366942531.0,234942531.0
The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,734868047.0
Harry Potter and the Prisoner of Azkaban,130000000.0,249757726.0,796907323.0,666907323.0
The Bourne Ultimatum,130000000.0,227471070.0,444043396.0,314043396.0
Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,493144660.0
Kung Fu Panda,130000000.0,215434591.0,631910531.0,501910531.0
Ant-Man,130000000.0,180202163.0,518858449.0,388858449.0
Home,130000000.0,177397510.0,385997896.0,255997896.0
Mary Poppins Returns,130000000.0,171958438.0,341528518.0,211528518.0
Puss in Boots,130000000.0,149260504.0,554987477.0,424987477.0
Megamind,130000000.0,148415853.0,321887208.0,191887208.0
Bad Boys II,130000000.0,138540870.0,273271982.0,143271982.0
Rio 2,130000000.0,131538435.0,492846291.0,362846291.0
Salt,130000000.0,118311368.0,290650494.0,160650494.0
Noah,130000000.0,101200044.0,352831065.0,222831065.0
The Adventures of Tintin,130000000.0,77591831.0,373993951.0,243993951.0
After Earth,130000000.0,60522097.0,251499665.0,121499665.0
Australia,130000000.0,49554002.0,215080810.0,85080810.0
R.I.P.D.,130000000.0,33618855.0,79076678.0,-50923322.0
How to Train Your Dragon: The Hidden World,129000000.0,160791800.0,519258283.0,390258283.0
"The Twilight Saga: Breaking Dawn, Part 1",127500000.0,281287133.0,689420051.0,561920051.0
Dinosaur,127500000.0,137748063.0,356148063.0,228648063.0
Logan,127000000.0,226277068.0,615461394.0,488461394.0
Night at the Museum: Secret of the Tomb,127000000.0,113746621.0,353756621.0,226756621.0
Harry Potter and the Deathly Hallows: Part II,125000000.0,381193157.0,1341693157.0,1216693157.0
The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,641575131.0
Harry Potter and the Sorcererâs Stone,125000000.0,317871467.0,975047606.0,850047606.0
Harry Potter and the Deathly Hallows: Part I,125000000.0,296131568.0,960431568.0,835431568.0
The Da Vinci Code,125000000.0,217536138.0,767820459.0,642820459.0
X-Men 2,125000000.0,214949694.0,406875536.0,281875536.0
Fast Five,125000000.0,210031325.0,630163454.0,505163454.0
Teenage Mutant Ninja Turtles,125000000.0,191204754.0,485004754.0,360004754.0
Sherlock Holmes: A Game of Shadows,125000000.0,186848418.0,535663443.0,410663443.0
The Day After Tomorrow,125000000.0,186740799.0,556319450.0,431319450.0
The Boss Baby,125000000.0,175003033.0,510878762.0,385878762.0
Clash of the Titans,125000000.0,163214888.0,493214888.0,368214888.0
Trolls,125000000.0,153707064.0,344150134.0,219150134.0
Godzilla,125000000.0,136314294.0,376000000.0,251000000.0
Prometheus,125000000.0,126477084.0,402448265.0,277448265.0
The Bourne Legacy,125000000.0,113203870.0,280355920.0,155355920.0
Batman & Robin,125000000.0,107325195.0,238317814.0,113317814.0
Skyscraper,125000000.0,68420120.0,304115534.0,179115534.0
Total Recall,125000000.0,58877969.0,211856088.0,86856088.0
Assassinâs Creed,125000000.0,54647948.0,240759682.0,115759682.0
Monster Trucks,125000000.0,33370166.0,61642798.0,-63357202.0
The 13th Warrior,125000000.0,32698899.0,61698899.0,-63301101.0
How the Grinch Stole Christmas,123000000.0,260044825.0,345141403.0,222141403.0
Mission: Impossible 2,120000000.0,215409889.0,549588516.0,429588516.0
The Perfect Storm,120000000.0,182618434.0,328711434.0,208711434.0
Jason Bourne,120000000.0,162192920.0,416168316.0,296168316.0
Fantastic Four: Rise of the Silver Surfer,120000000.0,131921738.0,289480691.0,169480691.0
Life of Pi,120000000.0,124987022.0,620912003.0,500912003.0
Ghost Rider,120000000.0,115802596.0,229545589.0,109545589.0
Rampage,120000000.0,101028233.0,428056280.0,308056280.0
Charlie's Angels: Full Throttle,120000000.0,100814328.0,227200000.0,107200000.0
Elysium,120000000.0,93050117.0,286192091.0,166192091.0
Oblivion,120000000.0,89107235.0,287916633.0,167916633.0
Power Rangers,120000000.0,85364450.0,142531552.0,22531552.0
Stuart Little 2,120000000.0,64956806.0,166000000.0,46000000.0
RoboCop,120000000.0,58607007.0,242981799.0,122981799.0
The Chronicles of Riddick,120000000.0,57712751.0,107212751.0,-12787249.0
Fantastic Four,120000000.0,56117548.0,167849187.0,47849187.0
Speed Racer,120000000.0,43945766.0,93394462.0,-26605538.0
The Island,120000000.0,35818913.0,163018913.0,43018913.0
How Do You Know?,120000000.0,30212620.0,49628177.0,-70371823.0
Knight and Day,117000000.0,76423035.0,258751370.0,141751370.0
Venom,116000000.0,213511408.0,853628605.0,737628605.0
Star Wars Ep. I: The Phantom Menace,115000000.0,474544677.0,1027044677.0,912044677.0
Star Wars Ep. III: Revenge of the Sith,115000000.0,380270577.0,848998877.0,733998877.0
Star Wars Ep. II: Attack of the Clones,115000000.0,310676740.0,656695615.0,541695615.0
"Monsters, Inc.",115000000.0,289423425.0,559757719.0,444757719.0
The Wolverine,115000000.0,132556852.0,416456852.0,301456852.0
Dante's Peak,115000000.0,67163857.0,178200000.0,63200000.0
The Huntsman: Winterâs War,115000000.0,48003015.0,165149302.0,50149302.0
Windtalkers,115000000.0,40914068.0,77628265.0,-37371735.0
AstÃ©rix aux Jeux Olympiques,113500000.0,999811.0,132999811.0,19499811.0
Gulliver's Travels,112000000.0,42779261.0,232017848.0,120017848.0
Ferdinand,111000000.0,84410380.0,289847930.0,178847930.0
Deadpool 2,110000000.0,324591735.0,786680557.0,676680557.0
Gravity,110000000.0,274092705.0,693698673.0,583698673.0
Night at the Museum,110000000.0,250863268.0,579446407.0,469446407.0
Mr. and Mrs. Smith,110000000.0,186336279.0,486124090.0,376124090.0
San Andreas,110000000.0,155190832.0,456258539.0,346258539.0
The Smurfs,110000000.0,142614158.0,563749323.0,453749323.0
Live Free or Die Hard,110000000.0,134529403.0,382288147.0,272288147.0
The Divergent Series: Insurgent,110000000.0,130179072.0,295075882.0,185075882.0
Ocean's Twelve,110000000.0,125531634.0,362989076.0,252989076.0
Tomorrow Never Dies,110000000.0,125304276.0,339504276.0,229504276.0
The Patriot,110000000.0,113330342.0,215300000.0,105300000.0
300: Rise of an Empire,110000000.0,106580051.0,330780051.0,220780051.0
The Aviator,110000000.0,102608827.0,208370892.0,98370892.0
Passengers,110000000.0,100014699.0,302239672.0,192239672.0
The Green Hornet,110000000.0,98780042.0,229155503.0,119155503.0
Miss Peregrineâs Home for Peculiar Children,110000000.0,87242834.0,295986876.0,185986876.0
Real Steel,110000000.0,85463309.0,263880341.0,153880341.0
The A-Team,110000000.0,77222099.0,177241171.0,67241171.0
The Smurfs 2,110000000.0,71017784.0,348547523.0,238547523.0
The Divergent Series: Allegiant,110000000.0,66184051.0,172022517.0,62022517.0
The Taking of Pelham 123,110000000.0,65452312.0,152364370.0,42364370.0
Ender's Game,110000000.0,61737191.0,127983283.0,17983283.0
Home on the Range,110000000.0,50026353.0,76482461.0,-33517539.0
Speed 2: Cruise Control,110000000.0,48097081.0,150468000.0,40468000.0
Kingdom of Heaven,110000000.0,47398413.0,218853353.0,108853353.0
Ghost in the Shell,110000000.0,40563557.0,167910690.0,57910690.0
Around the World in 80 Days,110000000.0,24004159.0,72004159.0,-37995841.0
Men in Black: International,110000000.0,3100000.0,3100000.0,-106900000.0
The Lord of the Rings: The Fellowship of the Ring,109000000.0,315544750.0,887210985.0,778210985.0
The Cat in the Hat,109000000.0,101018283.0,133818283.0,24818283.0
Ali,109000000.0,58183966.0,87683966.0,-21316034.0
The Martian,108000000.0,228433663.0,655271443.0,547271443.0
Allied,106000000.0,40098064.0,119266661.0,13266661.0
"I, Robot",105000000.0,144801023.0,348629585.0,243629585.0
Stuart Little,105000000.0,140015224.0,298815224.0,193815224.0
The Princess and the Frog,105000000.0,104400899.0,270997378.0,165997378.0
"10,000 B.C.",105000000.0,94784201.0,269065678.0,164065678.0
Ice Age: Collision Course,105000000.0,64063008.0,402156682.0,297156682.0
Town & Country,105000000.0,6712451.0,10364769.0,-94635231.0
Kingsman: The Golden Circle,104000000.0,100234838.0,408803696.0,304803696.0
Gone in 60 Seconds,103300000.0,101643008.0,232643008.0,129343008.0
Gladiator,103000000.0,187683805.0,457683805.0,354683805.0
The Hangover 3,103000000.0,112200072.0,362000072.0,259000072.0
A Wrinkle in Time,103000000.0,100478608.0,133401882.0,30401882.0
Public Enemies,102500000.0,97104620.0,212282709.0,109782709.0
Casino Royale,102000000.0,167365000.0,594420283.0,492420283.0
Minority Report,102000000.0,132024714.0,358824714.0,256824714.0
Bumblebee,102000000.0,127195589.0,465195589.0,363195589.0
Cloud Atlas,102000000.0,27108272.0,130673154.0,28673154.0
Harry Potter and the Chamber of Secrets,100000000.0,262233381.0,879225135.0,779225135.0
Terminator 2: Judgment Day,100000000.0,203464105.0,515419827.0,415419827.0
Batman Forever,100000000.0,184031112.0,336529144.0,236529144.0
Planet of the Apes,100000000.0,180011740.0,362211740.0,262211740.0
National Treasure,100000000.0,173005002.0,331323410.0,231323410.0
Django Unchained,100000000.0,162805434.0,449948323.0,349948323.0
Little Fockers,100000000.0,148438600.0,310650574.0,210650574.0
True Lies,100000000.0,146282411.0,365300000.0,265300000.0
American Gangster,100000000.0,130164645.0,267985456.0,167985456.0
Cloudy with a Chance of Meatballs,100000000.0,124870275.0,236827677.0,136827677.0
The Other Guys,100000000.0,119219978.0,170936470.0,70936470.0
Lemony Snicket's A Series of Unfortunate Events,100000000.0,118627117.0,212956024.0,112956024.0
The Wolf of Wall Street,100000000.0,116900694.0,389870414.0,289870414.0
Epic,100000000.0,107518682.0,262794441.0,162794441.0
Eraser,100000000.0,101295562.0,234400000.0,134400000.0
The Hunchback of Notre Dame,100000000.0,100138851.0,325500000.0,225500000.0
The Emperor's New Groove,100000000.0,89296573.0,169296573.0,69296573.0
The Expendables 2,100000000.0,85028192.0,311979256.0,211979256.0
Where the Wild Things Are,100000000.0,77233467.0,99123656.0,-876344.0
Eragon,100000000.0,75030163.0,249488115.0,149488115.0
Hercules,100000000.0,72688614.0,243388614.0,143388614.0
The Tourist,100000000.0,67631157.0,278731369.0,178731369.0
End of Days,100000000.0,66889043.0,212026975.0,112026975.0
The Stepford Wives,100000000.0,59475623.0,96221971.0,-3778029.0
Surf's Up,100000000.0,58867694.0,145395745.0,45395745.0
Blood Diamond,100000000.0,57377916.0,171377916.0,71377916.0
Legend of the Guardians: The Owls of Ga'Hoole,100000000.0,55675313.0,139716717.0,39716717.0
Starship Troopers,100000000.0,54768952.0,121100000.0,21100000.0
Land of the Lost,100000000.0,49438370.0,69548641.0,-30451359.0
Peter Pan,100000000.0,48417850.0,95255485.0,-4744515.0
Wonder Park,100000000.0,45216793.0,115149422.0,15149422.0
Catwoman,100000000.0,40202379.0,82145379.0,-17854621.0
The Expendables 3,100000000.0,39322544.0,209461378.0,109461378.0
Treasure Planet,100000000.0,38120554.0,91800000.0,-8200000.0
Green Zone,100000000.0,35497337.0,97523020.0,-2476980.0
Geostorm,100000000.0,33700160.0,220796009.0,120796009.0
Point Break,100000000.0,28782481.0,126704591.0,26704591.0
In the Heart of the Sea,100000000.0,25020758.0,89693309.0,-10306691.0
Transcendence,100000000.0,23022309.0,103039258.0,3039258.0
Son of the Mask,100000000.0,17018422.0,59918422.0,-40081578.0
Mortal Engines,100000000.0,15951040.0,85287417.0,-14712583.0
The Adventures of Pluto Nash,100000000.0,4411102.0,7094995.0,-92905005.0
Jin lÃ­ng shÃ­ san chai,100000000.0,311434.0,98227017.0,-1772983.0
